"Age","Gender","PID","MusExp","Rating","Track","Experiment","Scale"
26,"Female","E2_S1","Musician",4,"Fear","Exp2","JOY"
26,"Female","E2_S1","Musician",3,"Fear","Exp2","ANGER"
26,"Female","E2_S1","Musician",4,"Fear","Exp2","FEAR"
26,"Female","E2_S1","Musician",4,"Fear","Exp2","POWER"
26,"Female","E2_S1","Musician",3,"Fear","Exp2","SURPRISE"
26,"Female","E2_S1","Musician",1,"Power","Exp2","SADNESS"
26,"Female","E2_S1","Musician",2,"Power","Exp2","CALMNESS"
26,"Female","E2_S1","Musician",5,"Power","Exp2","JOY"
26,"Female","E2_S1","Musician",1,"Power","Exp2","ANGER"
26,"Female","E2_S1","Musician",1,"Power","Exp2","FEAR"
26,"Female","E2_S1","Musician",3,"Power","Exp2","POWER"
26,"Female","E2_S1","Musician",2,"Power","Exp2","SURPRISE"
26,"Female","E2_S1","Musician",2,"Surprise","Exp2","SADNESS"
26,"Female","E2_S1","Musician",1,"Surprise","Exp2","CALMNESS"
26,"Female","E2_S1","Musician",5,"Surprise","Exp2","JOY"
26,"Female","E2_S1","Musician",1,"Surprise","Exp2","ANGER"
26,"Female","E2_S1","Musician",2,"Surprise","Exp2","FEAR"
26,"Female","E2_S1","Musician",4,"Surprise","Exp2","POWER"
26,"Female","E2_S1","Musician",3,"Surprise","Exp2","SURPRISE"
22,"Male","E1_S2","Nonmusician",5,"Sadness","Exp1","SADNESS"
22,"Male","E1_S2","Nonmusician",1,"Sadness","Exp1","CALMNESS"
22,"Male","E1_S2","Nonmusician",1,"Sadness","Exp1","JOY"
22,"Male","E1_S2","Nonmusician",1,"Sadness","Exp1","ANGER"
22,"Male","E1_S2","Nonmusician",2,"Sadness","Exp1","FEAR"
22,"Male","E1_S2","Nonmusician",1,"Sadness","Exp1","POWER"
22,"Male","E1_S2","Nonmusician",1,"Sadness","Exp1","SURPRISE"
22,"Male","E1_S2","Nonmusician",1,"Joy","Exp1","SADNESS"
22,"Male","E1_S2","Nonmusician",4,"Joy","Exp1","CALMNESS"
22,"Male","E1_S2","Nonmusician",5,"Joy","Exp1","JOY"
22,"Male","E1_S2","Nonmusician",1,"Joy","Exp1","ANGER"
22,"Male","E1_S2","Nonmusician",1,"Joy","Exp1","FEAR"
22,"Male","E1_S2","Nonmusician",1,"Joy","Exp1","POWER"
22,"Male","E1_S2","Nonmusician",1,"Joy","Exp1","SURPRISE"
22,"Male","E1_S2","Nonmusician",2,"Calmness","Exp1","SADNESS"
22,"Male","E1_S2","Nonmusician",3,"Calmness","Exp1","CALMNESS"
22,"Male","E1_S2","Nonmusician",1,"Calmness","Exp1","JOY"
22,"Male","E1_S2","Nonmusician",1,"Calmness","Exp1","ANGER"
22,"Male","E1_S2","Nonmusician",1,"Calmness","Exp1","FEAR"
22,"Male","E1_S2","Nonmusician",1,"Calmness","Exp1","POWER"
22,"Male","E1_S2","Nonmusician",1,"Calmness","Exp1","SURPRISE"
22,"Male","E1_S2","Nonmusician",1,"Anger","Exp1","SADNESS"
22,"Male","E1_S2","Nonmusician",1,"Anger","Exp1","CALMNESS"
22,"Male","E1_S2","Nonmusician",1,"Anger","Exp1","JOY"
22,"Male","E1_S2","Nonmusician",5,"Anger","Exp1","ANGER"
22,"Male","E1_S2","Nonmusician",2,"Anger","Exp1","FEAR"
22,"Male","E1_S2","Nonmusician",2,"Anger","Exp1","POWER"
22,"Male","E1_S2","Nonmusician",1,"Anger","Exp1","SURPRISE"
22,"Male","E1_S2","Nonmusician",1,"Fear","Exp1","SADNESS"
22,"Male","E1_S2","Nonmusician",1,"Fear","Exp1","CALMNESS"
22,"Male","E1_S2","Nonmusician",1,"Fear","Exp1","JOY"
22,"Male","E1_S2","Nonmusician",1,"Fear","Exp1","ANGER"
22,"Male","E1_S2","Nonmusician",2,"Fear","Exp1","FEAR"
22,"Male","E1_S2","Nonmusician",4,"Fear","Exp1","POWER"
22,"Male","E1_S2","Nonmusician",1,"Fear","Exp1","SURPRISE"
22,"Male","E1_S2","Nonmusician",1,"Power","Exp1","SADNESS"
22,"Male","E1_S2","Nonmusician",1,"Power","Exp1","CALMNESS"
22,"Male","E1_S2","Nonmusician",2,"Power","Exp1","JOY"
22,"Male","E1_S2","Nonmusician",1,"Power","Exp1","ANGER"
22,"Male","E1_S2","Nonmusician",1,"Power","Exp1","FEAR"
22,"Male","E1_S2","Nonmusician",3,"Power","Exp1","POWER"
22,"Male","E1_S2","Nonmusician",2,"Power","Exp1","SURPRISE"
22,"Male","E1_S2","Nonmusician",3,"Surprise","Exp1","SADNESS"
22,"Male","E1_S2","Nonmusician",4,"Surprise","Exp1","CALMNESS"
22,"Male","E1_S2","Nonmusician",1,"Surprise","Exp1","JOY"
22,"Male","E1_S2","Nonmusician",1,"Surprise","Exp1","ANGER"
22,"Male","E1_S2","Nonmusician",1,"Surprise","Exp1","FEAR"
22,"Male","E1_S2","Nonmusician",1,"Surprise","Exp1","POWER"
22,"Male","E1_S2","Nonmusician",3,"Surprise","Exp1","SURPRISE"
22,"Male","E2_S2","Nonmusician",1,"Sadness","Exp2","SADNESS"
22,"Male","E2_S2","Nonmusician",2,"Sadness","Exp2","CALMNESS"
22,"Male","E2_S2","Nonmusician",2,"Sadness","Exp2","JOY"
22,"Male","E2_S2","Nonmusician",1,"Sadness","Exp2","ANGER"
22,"Male","E2_S2","Nonmusician",1,"Sadness","Exp2","FEAR"
22,"Male","E2_S2","Nonmusician",2,"Sadness","Exp2","POWER"
22,"Male","E2_S2","Nonmusician",1,"Sadness","Exp2","SURPRISE"
22,"Male","E2_S2","Nonmusician",1,"Joy","Exp2","SADNESS"
22,"Male","E2_S2","Nonmusician",2,"Joy","Exp2","CALMNESS"
22,"Male","E2_S2","Nonmusician",5,"Joy","Exp2","JOY"
22,"Male","E2_S2","Nonmusician",1,"Joy","Exp2","ANGER"
22,"Male","E2_S2","Nonmusician",1,"Joy","Exp2","FEAR"
22,"Male","E2_S2","Nonmusician",1,"Joy","Exp2","POWER"
22,"Male","E2_S2","Nonmusician",2,"Joy","Exp2","SURPRISE"
22,"Male","E2_S2","Nonmusician",1,"Calmness","Exp2","SADNESS"
22,"Male","E2_S2","Nonmusician",4,"Calmness","Exp2","CALMNESS"
22,"Male","E2_S2","Nonmusician",1,"Calmness","Exp2","JOY"
22,"Male","E2_S2","Nonmusician",1,"Calmness","Exp2","ANGER"
22,"Male","E2_S2","Nonmusician",1,"Calmness","Exp2","FEAR"
22,"Male","E2_S2","Nonmusician",2,"Calmness","Exp2","POWER"
